Event Name,Event Time,Status,External Url
New York Build Expo 2022,"Mar 02, 2022 03:00 PM - Mar 03, 2022 09:00 PM",APPROVED,
Rhino User webinar: Applied computational design in structural engineering,"Jun 08, 2022 02:00 PM - Jun 08, 2022 03:00 PM",APPROVED,https://youtu.be/VlCR7Qjog8M
Immersive Insights Webinar: Creating your own interactive immersive content,"Jul 22, 2025 12:00 PM - Jul 22, 2025 12:45 PM",APPROVED,
Reality Capture on day-to-day construction projects,"May 24, 2023 03:00 PM - May 24, 2023 03:30 PM",APPROVED,https://attendee.gotowebinar.com/register/8716211734354355798?source=CHTB
food4Rhino webinar: Procedural Design in Rhino with ArcGIS CityEngine,"Jun 28, 2022 02:00 PM - Jun 28, 2022 03:00 PM",APPROVED,https://youtu.be/51oP0r0ut8A
Q&A With Autodesk Expert Elite Members ,"Apr 28, 2021 04:30 PM - Apr 28, 2021 05:30 PM",APPROVED,https://us02web.zoom.us/webinar/register/WN_9t0lUDbNTUKnOOcN8uHILw
COBOD Webinar Series | Introduction to Construction 3D Printing,"May 08, 2024 04:00 PM - May 08, 2024 05:00 PM",APPROVED,
