ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=false, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{spellCheckEnabled=true, keywords=senior architectural designer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104194190, radiusInKms=40.2335}]}}, facets={}}",1732779861
"{smartExpansionEnabled=false, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{spellCheckEnabled=true, keywords=architectural designer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104194190, radiusInKms=40.2335}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}}}",1732779853
