School Name,Start Date,End Date,Notes,Degree Name,Activities
Washington University in St. Louis,2018,2020,,Master of Architecture with Honors,"Recipient of the William Tao Prize. Established by William K.Y. Tao, PE, alumnus, emeritus trustee and affiliate professor at Washington University, the William Tao Prize provides an annual cash award to students who have demonstrated excellence in the understanding and application of building systems in architecture, including illumination, electrical and mechanical engineering, and energy-efficient design."
Savannah College of Art and Design,2012,2017,,Bachelor of Fine Arts in Architecture,
Armstrong State University,2009,2013,,Associate of Arts (A.A.),Kappa Sigma 
